indexA,addressA,indexB,addressB,score
3618,"The Windsor, 69 Great Pulteney Street Bath, Bath and North East Somerset, South West, BA24DL",2008,"The Edgar Town House, 64, Great Pulteney Street, Bath, , United Kingdom, Bath and North East Somerset, South West, BA24DN",0.5749
3627,"The Edgar Townhouse, 64 Great Pulteney Street BathSomerset, Bath and North East Somerset, South West, BA24DN",2007,"No. 15 Great Pulteney, 13-15, Great Pulteney Street, Bath, , United Kingdom, Bath and North East Somerset, South West, BA24BS",0.5
3659,"The Kennard, 11 Henrietta Street Bath, Bath and North East Somerset, South West, BA26LL",9337,"Henrietta House, 27-29, Henrietta Street, , GB, Bath and North East Somerset, South West, BA26LR",0.5
3669,"Premier Inn Bath City Centre, James Street West Bath, Bath and North East Somerset, South West, BA12BX",8682,"Apex City of Bath Hotel, James Street West, Bath, Bath and North East Somerset, South West, BA12DA",0.538
3670,"The Thief, 1 Monmouth Place Bath, Bath and North East Somerset, South West, BA12AT",5154,"The Yard in Bath, Monmouth Place, Bath and North East Somerset, South West, BA12AT",0.5
3689,"The Bird, 18-19 Pulteney Road Bath, Bath and North East Somerset, South West, BA24EZ",4044,"The Ayrlington, Bath and North East Somerset, South West, BA24EZ",0.5889
3699,"Number 17 Bath, 17 Pulteney Road Bath, Bath and North East Somerset, South West, BA24EZ",4044,"The Ayrlington, Bath and North East Somerset, South West, BA24EZ",0.5047
3765,"The Bath Roof Terrace Apartment, 12B George Street, Bath and North East Somerset, South West, BA12EH",4624,"Travelodge Bath Central, 1, George Street, Bath and North East Somerset, South West, BA12EB",0.5
3845,"Osric Apartment, 4A Monmouth Place Flat 3, Bath and North East Somerset, South West, BA12AT",5154,"The Yard in Bath, Monmouth Place, Bath and North East Somerset, South West, BA12AT",0.5
4009,"Lovat Arms Hotel, High Street Beauly Inverness-shireScotland, Highland, IV47BS",548,"Caledonian Hotel, High Street, Beauly, , United Kingdom, Highland, IV47BY",0.5
4031,"The Bulkeley Hotel, 19 Castle Street Beaumaris Anglesey, Isle of Anglesey, LL588AW",7350,"Olde Bull's Head, 12-14, Castle Street, Beaumaris, Isle of Anglesey, LL588AP",0.5
4036,"Y Delyn, 2 Chapel Street Beaumaris, Isle of Anglesey, LL588DS",2091,"Bishopsgate Hotel, 54, Castle Street, Beaumaris, , United Kingdom, Isle of Anglesey, LL588BB",0.5191
4036,"Y Delyn, 2 Chapel Street Beaumaris, Isle of Anglesey, LL588DS",10510,"Bishopsgate Hotel and Restaurant, 54, Castle Street, Beaumaris, Isle of Anglesey, LL588BB",0.5256
4141,"BEDFORD SWAN HOTEL AND THERMAL SPA, The Embankment BedfordBedfordshire, East of England, MK401RW",2,"The Swan, 1, High Street, Bedford, , GB, East of England, MK401RW",0.5787
4144,"Tennyson House Hotel 36 Shakespeare Road Bedford, East of England, MK402ED",3989,"Verve Hotel, 27, Shakespeare Road, Bedford, , GB, East of England, MK402DX",0.5496
4150,"Wyboston Lakes, Great North Road WybostonBedfordshire, East of England, MK443AL",8936,"The Waterfront Hotel & Spa, Bedford, East of England, MK443AL",0.5
4154,"D'parys, 45 De Parys Avenue Bedford, East of England, MK402UA",4001,"Hertford House Hotel, 57, De Parys Avenue, Bedford, , GB, East of England, MK402TP",0.5529
