orig_indexA,orig_indexB,addressA,addressB,score
5290,1283,"Travelodge Birmingham Maypole, Maypole Lane Birmingham, West Midlands, B145JF","Travelodge, 10, Maypole Lane, Birmingham, , GB, West Midlands, B145JF",0.9
5295,5020,"Awentsbury Hotel, 21 Serpentine Road Selly Park BirminghamWest Midlands, B297HU","The Awentsbury Hotel, 21, Serpentine Road, Birmingham, West Midlands, B297HU",0.9
5304,4423,"ibis budget Birmingham Centre, 1 Great Colmore Street Birmingham, West Midlands, B152AP","Ibis Budget, 1, Great Colmore Street, Birmingham, West Midlands, B152AP",1.0
5307,4442,"Hatters Hostel Birmingham, 92-95 Livery Street Birmingham, West Midlands, B31RJ","Selina, 92-95, Livery Street, Birmingham, West Midlands, B31RJ",0.9
5308,217,"Heath Lodge Hotel nr NEC, 117 Coleshill Rd Bickenhill Marston Green Marston GreenBirminghamWest Midlands, Solihull, B377HT","Royal Square Hotel, 117, Coleshill Road, Solihull, , United Kingdom, West Midlands, B377HT",0.9769
5329,4018,"Premier Inn Coventry South A45, Kenpas Highway Coventry, West Midlands, CV36PB","Premier Inn, Kenpas Highway, Coventry, West Midlands, CV36PB",0.9
5450,5434,"Holiday Inn Express London Stansted Airport, Thremhall Avenue London Stansted Airport Stansted, Uttlesford, East of England, CM241PY","Holiday Inn Express, Thremhall Avenue, Stansted, Uttlesford, East of England, CM241PY",0.9
5501,7224,"Hill View Hotel, Preston New Road Blackburn, Blackburn with Darwen, North West, BB26BH","Hill View Hotel, 90, Preston New Road, Blackburn, Blackburn with Darwen, North West, BB26BH",0.9
5508,10030,"Hampton by Hilton Blackburn, 2 Frontier Ave Blackburn, Hyndburn, North West, BB13AL","Hampton by Hilton Blackburn, 2, Frontier Avenue, Blackburn, Hyndburn, North West, BB13AL",0.9225
5518,1975,"Abbotsford Hotel, 18 Woodfield Road Blackpool, North West, FY16AX","The Fairhaven, 27-29, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",0.9
5518,2463,"Abbotsford Hotel, 18 Woodfield Road Blackpool, North West, FY16AX","The Woodfield, 31-33, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",0.9
5518,2464,"Abbotsford Hotel, 18 Woodfield Road Blackpool, North West, FY16AX","The Art Break Hotel, 14-16, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",0.9
5534,2475,"The Oxfordshire Hotel, 9-11 Wellington Road Blackpool, North West, FY16AR","Oakleigh Hotel, Wellington Road, Blackpool, , United Kingdom, North West, FY16AR",0.9
5534,2476,"The Oxfordshire Hotel, 9-11 Wellington Road Blackpool, North West, FY16AR","The Vernon, Wellington Road, Blackpool, , United Kingdom, North West, FY16AR",0.9
5537,2481,"The New Sandringham Court Hotel, 65 69 Reads Avenue Blackpool, North West, FY14DG","The New Sandringham Court Hotel, 65-69, Read's Avenue, Blackpool, , United Kingdom, North West, FY14DG",0.988
5583,2359,"Rossdene House, 12 Gynn Avenue Blackpool, North West, FY12LD","Bramleigh Hotel, 13-15, Gynn Avenue, Blackpool, , United Kingdom, North West, FY12LD",0.9
5591,1975,"The New Ryton Hotel, 14-16 Woodfield Road Blackpool, North West, FY16AX","The Fairhaven, 27-29, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",0.9
5591,2463,"The New Ryton Hotel, 14-16 Woodfield Road Blackpool, North West, FY16AX","The Woodfield, 31-33, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",0.9
5591,2464,"The New Ryton Hotel, 14-16 Woodfield Road Blackpool, North West, FY16AX","The Art Break Hotel, 14-16, Woodfield Road, Blackpool, , United Kingdom, North West, FY16AX",1.0
5608,2292,"Smart Hotel Guest house, 1A King Edward Avenue Blackpool, North West, FY29TD","The Pembroke, 11, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0.9
5608,2293,"Smart Hotel Guest house, 1A King Edward Avenue Blackpool, North West, FY29TD","The Alpha, 9, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0.9
5608,2294,"Smart Hotel Guest house, 1A King Edward Avenue Blackpool, North West, FY29TD","Grosvenor View, 7, King Edward Avenue, Blackpool, , United Kingdom, North West, FY29TD",0.9
5614,2418,"Holmlea Guest house, 21 Alexandra Road Blackpool, North West, FY16BU","Ashley Victoria Hotel, Alexandra Road, Blackpool, , United Kingdom, North West, FY16BU",0.9
5629,2418,"Bronte House Hotel B&B, 29 Alexandra Road Blackpool, North West, FY16BU","Ashley Victoria Hotel, Alexandra Road, Blackpool, , United Kingdom, North West, FY16BU",0.9
