original_address,lat,long,formatted,name,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
"Park Hotel, 327, Cranbrook Road, Ilford, , GB, Redbridge, London, IG14UE",51.5676856,0.0650918,"Park Hotel, 327 Cranbrook Road, London, IG1 4UE, United Kingdom",Park Hotel,327,Cranbrook Road,,IG1 4UE,Gants Hill,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Crowne Plaza, 17, Wollaton Street, Nottingham, East Midlands, NG15RH",52.95542235,-1.153377292,"Crowne Plaza, 17 Wollaton Street, Nottingham, NG1 5RH, United Kingdom",Crowne Plaza,17,Wollaton Street,Lace Market,NG1 5RH,The Park,Nottingham,East Midlands,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Best Western Derwent Manor Hotel, Consett, Northumberland, North East, DH89BB",54.85224745,-1.88316044,"Best Western Derwent Manor Hotel, Allensford Bank, Consett, DH8 9BB, United Kingdom",Best Western Derwent Manor Hotel,,Allensford Bank,,DH8 9BB,Shotley Low Quarter,Consett,Northumberland,NBL,England,ENG,United Kingdom,gb,0.339378261,1,0.3969,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"The Jade, 52, Hogarth Road, London, , GB, Kensington and Chelsea, SW50PU",51.49373165,-0.191382743,"The Jade, 52 Hogarth Road, London, SW5 0PU, United Kingdom",The Jade,52,Hogarth Road,Royal Borough of Kensington and Chelsea,SW5 0PU,Earl's Court,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Empire Hotel, 73, Church Walks, Llandudno, , GB, Conwy, LL302HE",53.3275769,-3.833247861,"Empire Hotel, 73 Church Walks, Llandudno, LL30 2HE, United Kingdom",Empire Hotel,73,Church Walks,,LL30 2HE,Llandudno,Llandudno,Conwy,CWY,Wales,WLS,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Park Grand Marble Arch, 31, Great Cumberland Place, London, Westminster, W1H7TA",51.51511875,-0.16016994,"Park Grand Marble Arch, 31 Great Cumberland Place, London, W1H 7TA, United Kingdom",Park Grand Marble Arch,31,Great Cumberland Place,,W1H 7TA,Marylebone,London,Greater London,,England,ENG,United Kingdom,gb,0.84057971,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Premier Inn, Stratford Road, Solihull, West Midlands, B904EP",52.38428921,-1.795789997,"Stratford Road, Metropolitan Borough of Solihull, B90 4EP, United Kingdom",Stratford Road,,Stratford Road,,B90 4EP,,Metropolitan Borough of Solihull,West Midlands,,England,ENG,United Kingdom,gb,0.7,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Dunskaith Villa, 33, Greig Street",57.47809875,-4.23269376,"Dunskaith Villa, 33 Greig Street, Inverness, IV3 5PY, United Kingdom",Dunskaith Villa,33,Greig Street,,IV3 5PY,Park,Inverness,Highland,HLD,Scotland,SCT,United Kingdom,gb,0,,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Melandre Hotel By Saba, 75, Shepherds Bush Road, London, GB",51.49903735,-0.221799643,"Melandre Hotel By Saba, 75 Shepherds Bush Road, London, W6 7PD, United Kingdom",Melandre Hotel By Saba,75,Shepherds Bush Road,London Borough of Hammersmith and Fulham,W6 7PD,Brook Green,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Balmoral House Hotel, 157, Sussex Gardens, London",51.51474575,-0.172756177,"Balmoral House Hotel, 157 Sussex Gardens, London, W2 1UD, United Kingdom",Balmoral House Hotel,157,Sussex Gardens,,W2 1UD,Paddington,London,Greater London,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ely House Hotel, 53, Tettenhall Road, Wolverhampton, West Midlands, WV39NB",52.58644445,-2.143307786,"Ely House Hotel, 53 Tettenhall Road, Wolverhampton, WV3 9NB, United Kingdom",Ely House Hotel,53,Tettenhall Road,,WV3 9NB,,Wolverhampton,West Midlands,,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
