orig_index,text,lat,long
21200,"Hilton Edinburgh Carlton, North Bridge 19  Edinburgh Edinburgh, EH11SD",55.95079,-3.187801
58839,"Little Haven Hotel, River Drive Littlehaven Tyne & Wear LittlehavenSouth Shields Tyne & Wear, South Tyneside, North East, NE331LH",55.006667,-1.426752
5450,"Holiday Inn Express London Stansted Airport, Thremhall Avenue London Stansted Airport Stansted, Uttlesford, East of England, CM241PY",51.87637,0.247157
62782,"Lifehouse Spa & Hotel, Frinton Road  Thorpe Le Soken Thorpe-le-Soken Thorpe-le-SokenEssex, Tendring, East of England, CO160JD",51.851778,1.167077
34309,"The Haylie Hotel, 108 Irvine Road Largs, North Ayrshire, KA308EY",55.7845,-4.85784
12818,"The Royal Hotel Clacton On Sea, 1 Marine Parade East Clacton-on-Sea, Tendring, East of England, CO151PU",51.78767,1.15434
18327,"Cathedral Quarter Hotel, 16 St Marys Gate Derby, East Midlands, DE13JR",52.9244,-1.47983
29631,"Mercure Inverness Hotel, Church Street  Inverness, Highland, IV11DY",57.47834,-4.22632
5199,"Travelodge Birmingham Central Moor Street, Carrs Lane Birmingham, West Midlands, B47SS",52.47961759,-1.893802543
37574,"Shaftesbury Hyde Park International, 52-56 Inverness Terrace London, Westminster, W23LB",51.51242,-0.186384
18315,"ibis budget Derby, B5008 Etwall Road Willington Etwall RoadWillington, South Derbyshire, East Midlands, DE656DX",52.864248,-1.562453
12183,"The Chester Grosvenor, Eastgate Street Eastgate Chester, Cheshire West and Chester, North West, CH11LT",53.19079,-2.88903
37784,"The Chilworth London Paddington, 55 61 Westbourne Terrace Paddington PaddingtonLondon, Westminster, W23UY",51.515113,-0.178296
17166,"Dale Head Hall Lakeside Hotel, Thirlmere KeswickCumbria, Cumberland, North West, CA124TN",54.548561,-3.062351
37643,"Flemings Mayfair, 7-12 Half Moon Street Mayfair MayfairLondon, Westminster, W1J7BH",51.506359,-0.145349
37262,"Holly House Hotel, 20 Hugh Street Victoria  London London Victoria, Westminster, SW1V1RP",51.492384,-0.145458
33524,"Springfield Hotel, 35 Charnley Road  Blackpool, North West, FY14PE",53.815584,-3.047429
20147,"Hillside Hotel Dunbar, 3 Queens Road Dunbar, East Lothian, EH421LA",56.00008,-2.51234
33506,"Craig y Don, 211-213 Central Promenade Blackpool, North West, FY15DL",53.808175,-3.05518
5659,"Hesketh Hotel, 51-53 Hesketh Avenue Blackpool, North West, FY29JX",53.84902,-3.05037
36615,"Sefton Court, 49 Church Walks Llandudno, Conwy, LL302HL",53.32553,-3.83786
37132,"Royal Cambridge Hotel, 124-126 Sussex Gardens London, Westminster, W21UB",51.515675,-0.17226
7085,"The Hedley Townhouse, 125 West Hill Road Bournemouth Dorset, Bournemouth, Christchurch and Poole, South West, BH25PH",50.71702,-1.8845
49160,"Holiday Inn Express Oxford Kassam Stadium, Grenoble Road Oxford, South East, OX44XP",51.715073,-1.206876
29767,"Star Inn Rooms, 66 High Street Ardersier ArdersierInverness, Highland, IV27QB",57.57071,-4.03852
21584,"Novotel London Stansted, Round Coppice Road . London Stansted Airport Stansted, Uttlesford, East of England, CM241SF",51.87629,0.212439
5993,"Sweet Afton Hotel, 111 Albert road  Blackpool, North West, FY14PW",53.81595,-3.0485
12199,"Ba Ba Guest House, 65 Hoole Road Chester, Cheshire West and Chester, North West, CH23NJ",53.200501,-2.87578
48563,"Bennetts Hotel, 20-22 Derby Road Long Eaton Long EatonNottingham, Erewash, East Midlands, NG101LW",52.9005,-1.27417
37403,"Luna And Simone Hotel, 47 49 Belgrave Rd Victoria London, Westminster, SW1V2BB",51.490684,-0.138743
33116,"Elgin Hotel, 36 42 Queens Promenade Blackpool, North West, FY29RW",53.83731,-3.0542
5732,"The Big Blue Hotel, 1 Clifton Drive Pleasure Beach Resort Lancashire Blackpool Lancashire, North West, FY41ND",53.788,-3.05707
10343,"Cambridge Belfry Hotel & Spa, Back Lane Cambourne CambourneCambridgeCambridgeshire, South Cambridgeshire, East of England, CB236BW",52.220688,-0.068852
5982,"Delamere Hotel, 27 Hornby Road, Blackpool, North West, FY14QG",53.81544,-3.04746
35629,"Birchover One The Brayford, The Birchover Residences One The Brayford Brayford Wharf North, Lincoln, East Midlands, LN11BN",53.22994,-0.54764
