orig_indexA,orig_indexB,addressA,addressB,score
5537,2482,"The New Sandringham Court Hotel, 65 69 Reads Avenue Blackpool, North West, FY14DG","The Lanayr Hotel, 73-75, Read's Avenue, Blackpool, , United Kingdom, North West, FY14DG",0.888
5540,2469,"Cardoun Hotel, 15 St Chads Road Blackpool, North West, FY16BP","Phildene, 5-7, St Chad's Road, Blackpool, , United Kingdom, North West, FY16BP",0.8667
5541,10821,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA","Calypso Hotel, 39-41, Albert Road, Blackpool, North West, FY14TA",0.864
5541,10822,"The Elmora Hotel, Albert Road, 49 BLACKPOOL, North West, FY14TA","Walford Hotel, 45-47, Albert Road, Blackpool, North West, FY14TA",0.864
5542,2479,"West Vale Villa Hotel, 54 Read's Ave  Blackpool, North West, FY14DE","Norwood Hotel, 50-52, Read's Avenue, Blackpool, , United Kingdom, North West, FY14DE",0.8609
5542,2480,"West Vale Villa Hotel, 54 Read's Ave  Blackpool, North West, FY14DE","AA Central Hotel, 66, Read's Avenue, Blackpool, , United Kingdom, North West, FY14DE",0.8451
5571,2356,"Seabreeze Guest House, Gynn Avenue, 1 BLACKPOOL, North West, FY12LD","The Waterford, 2, Gynn Avenue, Blackpool, , United Kingdom, North West, FY12LD",0.875
5571,2359,"Seabreeze Guest House, Gynn Avenue, 1 BLACKPOOL, North West, FY12LD","Bramleigh Hotel, 13-15, Gynn Avenue, Blackpool, , United Kingdom, North West, FY12LD",0.875
5572,2475,"Wellington Hotel - Guest House, 1 Wellington Road Blackpool, North West, FY16AR","Oakleigh Hotel, Wellington Road, Blackpool, , United Kingdom, North West, FY16AR",0.8316
5572,2476,"Wellington Hotel - Guest House, 1 Wellington Road Blackpool, North West, FY16AR","The Vernon, Wellington Road, Blackpool, , United Kingdom, North West, FY16AR",0.896
5573,2423,"Fortywinks, Charnley Road, 10 BLACKPOOL, North West, FY14PF","The Eastgate Hotel, 6, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.869
5573,2424,"Fortywinks, Charnley Road, 10 BLACKPOOL, North West, FY14PF","The Beverley, 4, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.869
5573,2425,"Fortywinks, Charnley Road, 10 BLACKPOOL, North West, FY14PF","Merlin Hotel, 2, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.869
5573,2428,"Fortywinks, Charnley Road, 10 BLACKPOOL, North West, FY14PF","Zebra Lodge, 11, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.869
5573,2430,"Fortywinks, Charnley Road, 10 BLACKPOOL, North West, FY14PF","The Helmshore, 24-28, Charnley Road, Blackpool, , United Kingdom, North West, FY14PF",0.869
